Lp;Numer;P³eæ;Rocznik;Kat wiekowa;Czas
300;496;M / 222;1970;M4 / 54;01:15:18
301;2821;M / 199;1999;M1 / 12;01:14:16
302;1518;M / 101;1971;M4 / 21;01:07:30
303;3285;M / 371;1977;M3 / 133;01:24:42
304;3006;M / 401;1976;M4 / 103;01:27:08
305;1884;M / 300;1977;M3 / 108;01:19:32
306;1290;M / 44;2000;M1 / 6;01:02:42
307;2307;M / 425;1983;M3 / 154;01:30:59
308;3565;M / 239;1969;M4 / 61;01:16:36
309;2832;K / 38;1999;K1 / 2;01:25:18
310;360;M / 102;1977;M3 / 32;01:07:32
311;1606;M / 421;1976;M4 / 111;01:29:54
312;2995;M / 144;1977;M3 / 52;01:10:29
313;3572;M / 297;1979;M3 / 107;01:19:23
314;1411;M / 448;1956;M6 / 20;01:35:02
315;3581;K / 65;1980;K3 / 19;01:37:46
316;1605;M / 285;1976;M4 / 76;01:18:47
317;734;M / 386;1947;M6 / 14;01:25:53
318;3280;M / 27;1988;M2 / 6;01:00:11
319;1568;M / 461;1981;M3 / 164;01:39:00
320;737;M / 89;1984;M3 / 26;01:06:21
321;3210;M / 79;1972;M4 / 14;01:05:38
322;2855;K / 25;1987;K2 / 10;01:19:19
323;3235;M / 383;1981;M3 / 141;01:25:45
324;1786;M / 150;1974;M4 / 30;01:10:45
325;726;K / 72;1970;K4 / 10;01:42:47
326;3589;M / 403;1975;M4 / 104;01:27:18
327;2258;M / 75;1982;M3 / 22;01:05:24
328;1213;K / 7;1991;K2 / 4;01:11:25
329;407;M / 12;1980;M3 / 5;00:58:22
330;2535;K / 6;1989;K2 / 3;01:10:56
331;3076;K / 54;1999;K1 / 4;01:30:15
332;3078;M / 424;1970;M4 / 113;01:30:42
333;2782;M / 6;1988;M2 / 2;00:57:24
334;3533;M / 176;2002;M0 / 15;01:13:01
335;2991;M / 10;2000;M1 / 3;00:58:09
336;1472;M / 74;1966;M5 / 5;01:05:13
337;1307;M / 311;1973;M4 / 82;01:20:18
338;1388;M / 193;1989;M2 / 33;01:13:54
339;1752;M / 438;1974;M4 / 117;01:33:08
340;1442;M / 33;1972;M4 / 4;01:01:24
341;3543;K / 78;1976;K4 / 13;01:46:21
342;3482;M / 482;1980;M3 / 169;01:49:05
343;3382;M / 36;1975;M4 / 5;01:01:46
344;126;M / 80;1974;M4 / 15;01:05:39
345;3292;K / 64;1979;K3 / 18;01:37:35
346;533;M / 26;1982;M3 / 10;01:00:02
347;918;M / 59;1977;M3 / 17;01:03:42
348;1550;M / 15;2001;M0 / 3;00:58:46
349;1989;K / 22;1989;K2 / 9;01:18:24
350;827;M / 152;1956;M6 / 3;01:11:04
351;2687;M / 226;1986;M3 / 77;01:15:38
352;3449;M / 357;1964;M5 / 27;01:23:53
353;1327;M / 130;1978;M3 / 43;01:09:09
354;434;K / 36;1962;K5 / 1;01:24:01
355;1158;M / 22;1991;M2 / 5;00:59:41
356;2976;M / 248;1961;M5 / 15;01:16:51
357;1745;M / 433;1961;M5 / 35;01:32:25
358;3517;M / 450;1973;M4 / 122;01:35:45
359;3083;M / 9;1985;M3 / 3;00:58:00
360;526;M / 57;1973;M4 / 10;01:03:39
361;1126;K / 48;1979;K3 / 13;01:28:39
362;1155;M / 196;1988;M2 / 34;01:14:07
363;1013;M / 497;1978;M3 / 175;02:10:41
364;819;M / 182;1979;M3 / 64;01:13:16
365;1576;M / 402;1986;M3 / 147;01:27:16
366;200;M / 92;1987;M2 / 19;01:06:30
367;2831;M / 96;2002;M0 / 11;01:07:04
368;2834;M / 42;1972;M4 / 7;01:02:34
369;1244;M / 31;1980;M3 / 11;01:01:11
370;508;M / 64;1977;M3 / 18;01:04:13
371;3485;M / 343;1984;M3 / 122;01:22:17
372;3157;M / 50;2004;MM / 1;01:03:16
373;3530;M / 217;1982;M3 / 74;01:15:05
374;1983;M / 100;1983;M3 / 31;01:07:23
375;1427;M / 381;1965;M5 / 31;01:25:37
376;2788;K / 31;1977;K3 / 9;01:21:42
377;1112;M / 95;1972;M4 / 20;01:06:51
378;940;M / 219;2005;MM / 10;01:15:10
379;511;K / 71;1991;K2 / 19;01:41:37
380;3289;M / 315;1982;M3 / 113;01:20:33
381;4074;M / 202;1983;M3 / 71;01:14:23
382;783;M / 284;1978;M3 / 100;01:18:43
383;1058;M / 419;1983;M3 / 152;01:29:46
384;223;M / 4;1993;M2 / 1;00:56:42
385;3333;M / 394;1989;M2 / 48;01:26:30
386;1333;M / 72;1983;M3 / 21;01:05:11
387;1957;M / 398;1957;M5 / 32;01:26:52
388;2918;M / 232;1973;M4 / 59;01:16:13
389;3540;M / 316;1984;M3 / 114;01:20:38
390;1292;M / 209;1976;M4 / 48;01:14:45
391;3592;M / 225;1969;M4 / 56;01:15:37
392;3568;M / 244;2004;MM / 12;01:16:43
393;116;M / 307;1951;M6 / 11;01:20:03
394;937;M / 118;1987;M2 / 23;01:08:12
395;684;M / 273;1976;M4 / 71;01:18:13
396;686;M / 475;1952;M6 / 24;01:43:35
397;685;K / 85;2003;KM / 6;01:59:27
398;1629;K / 59;1975;K4 / 8;01:34:45
399;1970;M / 264;1970;M4 / 69;01:17:40
400;2878;M / 252;1971;M4 / 65;01:16:54
401;1642;M / 373;1979;M3 / 135;01:24:49
402;3271;M / 159;1981;M3 / 55;01:11:34
403;3595;M / 498;2006;MM / 33;02:13:55
404;1408;K / 92;1977;K3 / 26;02:13:51
405;983;M / 109;1970;M4 / 23;01:07:44
406;2830;M / 462;1975;M4 / 124;01:39:03
407;3564;M / 255;1975;M4 / 66;01:17:11
408;974;M / 366;1972;M4 / 95;01:24:26
409;3484;M / 224;1984;M3 / 76;01:15:36
410;773;M / 317;1973;M4 / 85;01:20:40
411;1330;M / 362;1971;M4 / 94;01:24:14
412;203;M / 145;1983;M3 / 53;01:10:39
413;3297;M / 495;2005;MM / 32;02:06:29
414;1095;M / 147;1988;M2 / 26;01:10:42
415;2913;M / 350;1986;M3 / 125;01:22:50
416;2107;M / 105;1988;M2 / 21;01:07:39
417;901;M / 434;1969;M4 / 115;01:32:39
418;3525;M / 233;1976;M4 / 60;01:16:15
419;259;M / 387;1968;M4 / 100;01:26:03
420;1867;M / 238;1978;M3 / 82;01:16:34
421;1059;M / 287;2005;MM / 15;01:18:53
422;1147;M / 108;1981;M3 / 36;01:07:42
423;4058;M / 91;1986;M3 / 27;01:06:30
424;279;M / 168;1973;M4 / 37;01:12:27
425;556;M / 175;1975;M4 / 40;01:12:53
426;1616;M / 356;1981;M3 / 127;01:23:43
427;1744;M / 257;2005;MM / 13;01:17:13
428;3522;M / 236;1981;M3 / 80;01:16:30
429;757;K / 70;1981;K3 / 22;01:41:28
430;2959;M / 288;1969;M4 / 78;01:18:56
431;3514;M / 117;2001;M0 / 12;01:08:09
432;3264;M / 427;1983;M3 / 156;01:31:03
433;3563;M / 268;1986;M3 / 94;01:17:50
434;2839;M / 263;1979;M3 / 93;01:17:36
435;687;K / 89;1984;K3 / 25;02:07:22
436;497;M / 216;1973;M4 / 52;01:15:05
437;3223;M / 295;1980;M3 / 105;01:19:18
438;4111;M / 181;1969;M4 / 43;01:13:16
439;330;M / 103;1979;M3 / 33;01:07:32
440;567;K / 76;2004;KM / 5;01:45:48
441;3281;M / 86;1975;M4 / 18;01:06:02
442;789;M / 460;1981;M3 / 163;01:38:53
443;2429;M / 291;1990;M2 / 38;01:19:01
444;538;M / 485;1987;M2 / 57;01:52:24
445;857;M / 422;1974;M4 / 112;01:29:56
446;866;M / 231;2006;MM / 11;01:15:59
447;858;K / 60;1974;K4 / 9;01:34:57
448;3520;M / 432;1987;M2 / 51;01:32:24
449;383;M / 142;1983;M3 / 50;01:10:29
450;4068;K / 91;2005;KM / 7;02:11:41
451;2424;K / 93;1976;K4 / 21;02:14:49
452;3536;K / 86;1972;K4 / 18;01:59:42
453;4002;M / 480;1974;M4 / 127;01:48:05
454;64;M / 87;1974;M4 / 19;01:06:02
455;338;M / 466;1953;M6 / 22;01:39:37
456;4055;M / 418;1980;M3 / 151;01:29:35
457;770;M / 368;1970;M4 / 96;01:24:30
458;363;M / 11;1981;M3 / 4;00:58:10
459;3577;M / 391;1954;M6 / 15;01:26:25
460;2469;K / 90;1968;K4 / 20;02:07:25
461;1603;M / 353;1968;M4 / 92;01:22:57
462;893;M / 369;1986;M3 / 131;01:24:31
463;892;M / 126;1978;M3 / 41;01:08:49
464;3538;M / 500;1982;M3 / 176;02:23:41
465;3229;M / 19;1975;M4 / 2;00:59:11
466;3620;M / 253;1981;M3 / 89;01:17:00
467;719;M / 499;2007;MM / 34;02:17:06
468;152;M / 429;1990;M2 / 50;01:31:25
469;2903;M / 436;1985;M3 / 157;01:32:50
470;3230;M / 477;1983;M3 / 168;01:44:17
471;902;K / 88;1985;K3 / 24;02:03:53
472;380;K / 50;1977;K3 / 14;01:29:32
473;744;M / 378;1980;M3 / 138;01:24:54
474;1006;M / 157;1975;M4 / 32;01:11:29
475;3090;M / 420;1972;M4 / 110;01:29:50
476;2303;M / 192;1978;M3 / 67;01:13:52
477;164;M / 170;1981;M3 / 60;01:12:36
478;3541;M / 283;1984;M3 / 99;01:18:41
479;3532;M / 251;1986;M3 / 88;01:16:53
480;3218;M / 361;1957;M5 / 29;01:24:10
481;2737;M / 149;1990;M2 / 27;01:10:44
482;3531;M / 323;2003;MM / 17;01:21:08
483;1719;M / 476;1962;M5 / 38;01:43:55
484;4056;M / 453;2004;MM / 27;01:36:47
485;2275;M / 363;2002;M0 / 21;01:24:16
486;880;K / 47;1978;K3 / 12;01:28:02
487;1488;M / 481;1974;M4 / 128;01:48:48
488;2672;M / 473;1981;M3 / 167;01:43:04
489;3469;M / 276;1982;M3 / 98;01:18:15
490;3523;M / 167;1976;M4 / 36;01:12:27
491;3002;M / 114;1980;M3 / 38;01:08:01
492;1504;M / 197;1979;M3 / 68;01:14:11
493;1681;M / 397;1981;M3 / 145;01:26:52
494;81;M / 94;1981;M3 / 28;01:06:40
495;2241;M / 404;1982;M3 / 148;01:27:19
496;1801;M / 1;1978;M3 / 1;00:55:56
497;3209;M / 154;2003;MM / 5;01:11:17
498;170;K / 87;1970;K4 / 19;01:59:57
499;169;M / 177;1969;M4 / 41;01:13:03
500;911;M / 113;2000;M1 / 10;01:07:59
501;303;M / 454;1994;M2 / 53;01:36:51
502;1474;M / 299;1971;M4 / 79;01:19:27
503;1577;M / 132;1959;M5 / 9;01:09:10
504;1966;M / 275;1966;M5 / 16;01:18:14
505;1531;M / 106;1976;M4 / 22;01:07:39
506;474;M / 445;1969;M4 / 119;01:34:31
507;725;M / 389;2003;MM / 21;01:26:19
508;3528;M / 104;1984;M3 / 34;01:07:39
509;340;M / 483;1981;M3 / 170;01:49:21
510;4065;M / 459;1997;M2 / 54;01:38:41
511;3293;M / 458;2004;MM / 29;01:38:25
512;2727;M / 321;1951;M6 / 12;01:21:07
513;806;M / 120;1969;M4 / 25;01:08:24
514;807;K / 23;1970;K4 / 2;01:18:42
515;1381;K / 28;1982;K3 / 7;01:21:09
516;2306;M / 43;1985;M3 / 14;01:02:36
517;1483;M / 49;1992;M2 / 10;01:03:08
518;4064;M / 344;1989;M2 / 45;01:22:18
519;347;K / 29;1985;K3 / 8;01:21:23
520;2220;M / 77;2001;M0 / 10;01:05:30
521;4440;M / 223;1974;M4 / 55;01:15:18
522;845;M / 66;1982;M3 / 20;01:04:20
523;2473;M / 173;1975;M4 / 39;01:12:46
524;2026;K / 73;1970;K4 / 11;01:44:15
525;216;M / 410;1970;M4 / 106;01:27:45
526;3205;M / 347;2004;MM / 19;01:22:31
527;3571;M / 153;1973;M4 / 31;01:11:07
528;328;M / 212;1975;M4 / 50;01:14:50
529;1135;M / 493;1962;M5 / 40;02:04:03
530;1741;K / 27;1971;K4 / 3;01:20:52
531;175;M / 41;1975;M4 / 6;01:02:33
532;977;M / 229;1974;M4 / 57;01:15:57
533;1145;K / 33;1979;K3 / 11;01:22:22
534;3588;M / 246;1989;M2 / 36;01:16:50
535;3586;K / 55;1956;K5 / 3;01:30:34
536;3492;M / 467;1950;M6 / 23;01:39:42
537;1097;K / 32;1982;K3 / 10;01:21:50
538;1778;M / 367;1978;M3 / 130;01:24:29
539;249;M / 228;1965;M5 / 13;01:15:55
540;1197;K / 41;1997;K2 / 13;01:26:08
541;3224;M / 440;1978;M3 / 160;01:33:23
542;1775;K / 40;1987;K2 / 12;01:25:42
543;1928;M / 359;1966;M5 / 28;01:24:02
544;3743;M / 73;1987;M2 / 16;01:05:12
545;2211;M / 241;1982;M3 / 84;01:16:37
546;1066;M / 207;1962;M5 / 12;01:14:36
547;2612;M / 463;1966;M5 / 36;01:39:03
548;1414;M / 489;1972;M4 / 129;01:53:08
549;1610;M / 53;1988;M2 / 11;01:03:20
550;167;M / 213;1982;M3 / 73;01:15:02
551;1061;M / 392;2004;MM / 22;01:26:27
552;572;M / 250;1973;M4 / 64;01:16:52
553;1062;M / 259;2005;MM / 14;01:17:24
554;3071;M / 382;1969;M4 / 98;01:25:41
555;3448;M / 331;1982;M3 / 118;01:21:27
556;4120;M / 277;1968;M4 / 73;01:18:18
557;490;M / 58;1961;M5 / 4;01:03:42
558;867;K / 3;2002;K0 / 2;01:08:08
559;860;M / 162;1976;M4 / 34;01:12:00
560;868;K / 5;2002;K0 / 3;01:08:45
561;2743;M / 469;1980;M3 / 166;01:42:15
562;2895;M / 494;1975;M4 / 132;02:06:13
563;3216;M / 322;1987;M2 / 41;01:21:07
564;1309;K / 30;1971;K4 / 4;01:21:36
565;2882;M / 254;1981;M3 / 90;01:17:03
566;1897;M / 85;1987;M2 / 18;01:06:00
567;816;M / 16;1993;M2 / 3;00:58:53
568;3542;M / 262;1983;M3 / 92;01:17:33
569;1500;M / 93;1989;M2 / 20;01:06:35
570;862;M / 280;1971;M4 / 74;01:18:31
571;1906;M / 136;1979;M3 / 45;01:10:04
572;2109;K / 81;1988;K2 / 21;01:52:00
573;406;M / 45;2001;M0 / 6;01:02:46
574;1971;M / 61;1971;M4 / 11;01:04:03
575;1693;M / 3;2001;M0 / 2;00:56:06
576;3570;M / 478;1999;M1 / 14;01:44:41
577;480;M / 51;1977;M3 / 15;01:03:17
578;755;M / 407;1967;M4 / 105;01:27:31
579;2757;K / 67;1978;K3 / 20;01:39:25
580;3539;M / 376;1983;M3 / 137;01:24:53
581;2805;M / 405;2003;MM / 23;01:27:21
582;212;M / 320;1982;M3 / 115;01:21:02
583;666;K / 17;1978;K3 / 5;01:15:58
584;3472;M / 341;1994;M2 / 44;01:22:10
585;2237;M / 18;2000;M1 / 4;00:59:10
586;2744;M / 237;1980;M3 / 81;01:16:31
587;671;M / 131;1971;M4 / 27;01:09:10
588;3566;M / 446;1987;M2 / 52;01:34:54
589;3199;M / 414;1988;M2 / 49;01:28:04
590;824;M / 214;2004;MM / 9;01:15:02
591;638;M / 218;1971;M4 / 53;01:15:07
592;1912;M / 365;1977;M3 / 129;01:24:18
593;3405;M / 415;2005;MM / 24;01:28:08
594;1823;M / 39;2002;M0 / 5;01:02:31
595;3208;K / 42;2001;K0 / 8;01:26:28
596;863;M / 400;1948;M6 / 17;01:27:03
597;3227;M / 70;1972;M4 / 12;01:05:01
598;3578;K / 83;1998;K2 / 22;01:57:19
